fruitlegumes001;;;
fruitlegumes002;AIL blanc sec ;Espagne cat.I 60-80mm ;sac 5kg 	3.00 	= 	2.80 	3.20;
fruitlegumes003;AIL frais; Egypte cat.I 60-80mm; 	3.50 	= 	  	 ;
fruitlegumes004;AIL violet sec; Argentine cat.I 60-80mm; sac 5kg 	5.00 	= 	4.50 	5.50;
fruitlegumes005;AIL violet sec; Espagne cat.I 60-80mm; 	3.50 	= 	3.40 	3.60;
fruitlegumes006;AIL violet sec; France cat.I 70-90mm; sac 5kg 	4.20 	= 	4.00 	4.50;
fruitlegumes007;ANANAS Cayenne lisse; Afrique B(1100-1500g) avion carton 	2.30 	= 	2.00 	2.50;
fruitlegumes008;ANANAS Sweet; Amérique centrale; B(1100-1500g) avion carton 	2.50 	= 	2.20 	2.80;
fruitlegumes009;ANANAS Sweet; Costa-Rica cat.I ;B(1100-1500g) bateau conteneur 	1.10 	= 	1.00 	1.15;
fruitlegumes010;ANANAS Sweet; Côte d'Ivoire cat.I ;B(1100-1500g) bateau conteneur 	1.10 	= 	0.90 	1.15;
fruitlegumes011;ARTICHAUT Calico; Espagne cat.I ;colis de 12 	1.40 	= 	1.20 	1.50;
fruitlegumes012;ASPERGE blanche violette ;France cat.I 16-22mm ;	7.00 	+1.00 	6.00 	7.50;
fruitlegumes013;ASPERGE blanche violette ;France cat.I +22mm 	;8.00 	+1.00 	7.00 	8.50;
fruitlegumes014;ASPERGE verte ;Espagne cat.I 16-22mm botte 500g ;	3.80 	= 	3.00 	4.00;
fruitlegumes015;AUBERGINE ;Espagne cat.I 	;1.40 	= 	1.20 	1.50;
fruitlegumes016;AVOCAT Hass ;Espagne ;colis de 16 (les 16 pièces) 	16.50 	= 	15.00 	18.00;
fruitlegumes017;AVOCAT Hass ;Espagne ;colis de 20 (les 20 pièces) 	15.50 	= 	14.00 	18.00;
fruitlegumes018;BANANE ;Afrique ;extra 	1.00 	= 	0.80 	1.10;
fruitlegumes019;BANANE ;Amérique centrale ;extra 	1.00 	= 	0.80 	1.10;
fruitlegumes020;BANANE ;DOM ;extra 	1.05 	= 	0.90 	1.20;
fruitlegumes021;BETTE ;Italie 	;1.20 	= 	1.00 	1.30;
fruitlegumes022;BETTERAVE ROUGE ronde cuite ;France ;	1.70 	= 	1.60 	1.80;
fruitlegumes023;CAROTTE ;Espagne cat.I botte ;(la botte) 	1.00 	= 	0.90 	1.10;
fruitlegumes024;CAROTTE ;France cat.I; sac 10kg 	0.60 	= 	0.55 	0.70;
fruitlegumes025;CAROTTE; France ;extra colis 12kg 	0.85 	= 	0.80 	0.95;
fruitlegumes026;CÉLERI-BRANCHE; vert ;Italie cat.I 	;.00 	= 	0.80 	1.20;
fruitlegumes027;CÉLERI-RAVE ;France 	;1.10 	= 	0.90 	1.20;
fruitlegumes028;CHAMPIGNON DE PARIS ;Pologne pied coupé cat.I; plateau 	2.00 	= 	1.75 	2.10;
fruitlegumes029;CHICORÉE ;Frisée fine Espagne cat.I; colis de 10 (les 10 pièces) 	11.00 	= 	10.50 	11.50;
fruitlegumes030;CHICORÉE ;frisée France cat.I ;colis de 8 (les 8 pièces) 	14.00 	= 	13.00 	15.00;
fruitlegumes031;CHICORÉE ;Scarole France cat.I ;colis de 8 (les 8 pièces) 	14.00 	= 	13.00 	15.00;
fruitlegumes032;CHOU; blanc France cat.I 	;0.60 	= 	0.50 	0.65;
fruitlegumes033;CHOU ;blanc Pays-Bas cat.I 	;0.55 	= 	0.50 	0.60;
fruitlegumes034;CHOU; Brocoli Espagne cat.I 	;1.50 	= 	1.40 	1.60;
fruitlegumes035;CHOU DE BRUXELLES ;Pays-Bas cat.I ;	1.30 	= 	1.10 	1.60;
fruitlegumes036;CHOU FLEUR ;France couronné cat.I ;gros (les 6 pièces) 	17.50 	+0.50 	17.00 	18.00;
fruitlegumes037;CHOU rouge; France cat.I 	;0.65 	= 	0.55 	0.70;
fruitlegumes038;CHOU rouge; Pays-Bas cat.I ;sac 	0.60 	= 	0.50 	0.70;
fruitlegumes039;CITRON ;Espagne; cat.I ;4(58-67mm) 	1.50 	= 	1.40 	1.60;
fruitlegumes040;CITRON ;Espagne; extra 4;(58-67mm) 	1.60 	= 	1.30 	1.80;
fruitlegumes041;CLÉMENTINE Or ;Israël cat.I ;1-X 	2.30 	+0.35 	1.95 	2.45;
fruitlegumes042;CLÉMENTINE Or ;Israël cat.II ;1-X 	1.90 	  	1.80 	2.00;
fruitlegumes043;CLÉMENTINE Or ;Israël extra 1 	;2.70 	+0.20 	2.30 	2.80;
fruitlegumes044;CONCOMBRE ;Espagne cat.I 500-600g; colis de 12 (la pièce) 	0.78 	= 	0.75 	0.85;
fruitlegumes045;CONCOMBRE ;France cat.I 500-600g ;colis de 12 (la pièce) 	0.95 	= 	0.90 	1.10;
fruitlegumes046;CONCOMBRE ;mini Espagne cat.I 	;2.40 	= 	2.20 	2.60;
fruitlegumes047;COURGE Butternut ;Import 	;1.10 	= 	1.00 	1.30;
fruitlegumes048;COURGE Potimarron ;Import ;	2.20 	= 	2.10 	2.50;
fruitlegumes049;COURGETTE ronde ;Espagne cat.I ;plateau 	2.00 	  	  	 ;
fruitlegumes050;COURGETTE verte;Espagne cat.I ;14-21cm 	2.65 	+0.05 	2.50 	2.80;
fruitlegumes051;CRESSON; France botte (la botte) ;	1.45 	= 	1.40 	1.50;
fruitlegumes052;ÉCHALION; France cat.I 30-50mm ;plateau 	0.90 	= 	0.80 	1.10;
fruitlegumes053;ÉCHALOTE; France cat.I ;	0.80 	= 	0.70 	0.90;
fruitlegumes054;ENDIVE; Nord-Picardie cat.I; colis 5kg 	1.80 	= 	1.50 	2.00;
fruitlegumes055;ENDIVE; Nord-Picardie extra; colis 5kg 	2.00 	= 	1.80 	2.20;
fruitlegumes056;ÉPINARD; France cat.I ;	2.50 	= 	2.00 	2.80;
fruitlegumes057;FENOUIL; Italie 	;1.20 	= 	1.00 	1.40;
fruitlegumes058;FRAISE Gariguette ;France cat.I barq.250g ;	11.20 	+5.20 	10.00 	12.00;
fruitlegumes059;FRAISE Gariguette ;France extra plateau 	;15.00 	+2.00 	13.00 	16.00;
fruitlegumes060;FRAISE standard; Espagne cat.I plateau 1kg ;	4.00 	+0.50 	3.00 	4.50;
fruitlegumes061;FRAMBOISE ;Maroc sous-abri barq.125g	;12.00 	= 	10.40 	12.80;
fruitlegumes062;FRAMBOISE ;Portugal barq.125g	;12.80 	= 	11.20 	13.60;
fruitlegumes063;HARICOT VERT Coco plat; Maroc cat.I très fin ;	3.50 	= 	3.00 	3.80;
fruitlegumes064;HARICOT VERT vert ;Maroc cat.Ifin 	;2.50 	= 	2.20 	2.80;
